,Shapiro_val,Shapiro_p,Skewness,Kurtosis,AIC,BIC,SMSE,MSLL,marker
middletemporal_lh_alpha_knee_periodic,0.9990959833876067,0.901504375349836,-0.0168241636600004,0.0444507892161549,[2831.9317423],[3030.07903075],0.9352677307889916,-0.0860495933026141,middletemporal_lh_alpha_knee_periodic
middletemporal_rh_alpha_knee_periodic,0.9977204396446968,0.157033895593411,-0.0391053987353981,0.0099899270126098,[2818.54900246],[3016.7344533],0.9463004907100534,-0.0703097639751378,middletemporal_rh_alpha_knee_periodic
paracentral_lh_alpha_knee_periodic,0.9954804130785422,0.0033929385323835,-0.0899353882773724,0.2349443864215921,[2785.79014214],[2984.01390958],0.959310460257161,-0.02070087256597,paracentral_lh_alpha_knee_periodic
paracentral_rh_alpha_knee_periodic,0.9990234869194654,0.8626803593391661,0.0275737399165226,-0.1361450201289482,[2759.34992724],[2957.61175256],0.9582081711728606,-0.0195548032166057,paracentral_rh_alpha_knee_periodic
parahippocampal_lh_alpha_knee_periodic,0.9985107753041068,0.5197662532725629,-0.0362480676554612,0.0780418644930995,[2847.37200755],[3045.55755684],0.9617344972980368,-0.0518087043747096,parahippocampal_lh_alpha_knee_periodic
parahippocampal_rh_alpha_knee_periodic,0.9981687523884006,0.3199868784743699,-0.0190023058419505,-0.0642531477236736,[2804.8268046],[3003.08864828],0.9501023846137326,-0.0849806674177313,parahippocampal_rh_alpha_knee_periodic
parsopercularis_lh_alpha_knee_periodic,0.9994148736126408,0.990993377577292,0.0038868228712357,-0.0377744714664416,[2904.64210404],[3102.86569558],0.9623208356837596,-0.0396044242500234,parsopercularis_lh_alpha_knee_periodic
parsopercularis_rh_alpha_knee_periodic,0.998449373263683,0.480650818183103,-0.0219203797124448,-0.1083518836318711,[2927.71466058],[3125.86207716],0.9852416610240702,-0.0120982816453708,parsopercularis_rh_alpha_knee_periodic
parsorbitalis_lh_alpha_knee_periodic,0.9989466976742272,0.8221913285622449,-0.0128499072003707,-0.0115287140739428,[2743.99607783],[2941.91359436],0.9200941772441376,-0.1045314920121134,parsorbitalis_lh_alpha_knee_periodic
parsorbitalis_rh_alpha_knee_periodic,0.9985448751264376,0.5460415204174168,-0.0095322399261838,-0.0754960294395474,[2795.47953049],[2993.51206912],0.9320378504019196,-0.0828476243270157,parsorbitalis_rh_alpha_knee_periodic
parstriangularis_lh_alpha_knee_periodic,0.9989427033018106,0.816360537643829,-0.0132851387043802,0.0514779049635656,[2857.33901684],[3055.48644044],0.9532347619716042,-0.0657282813661564,parstriangularis_lh_alpha_knee_periodic
parstriangularis_rh_alpha_knee_periodic,0.9983540068543124,0.4220698971358078,0.0099612217075633,-0.034286503312261,[2872.21290006],[3070.36031256],0.9507723993079588,-0.0659456658763085,parstriangularis_rh_alpha_knee_periodic
pericalcarine_lh_alpha_knee_periodic,0.9982042587910308,0.338345902196318,0.0078017050196121,0.0013337594106173,[2640.09959481],[2838.32327868],0.929251019172197,-0.0896744379353445,pericalcarine_lh_alpha_knee_periodic
