marker,mean,std,source
caudalanteriorcingulate_rh_delta_connectivity,0.3274930814,0.0226878399,regression exacte (residu < 1e-14)
caudalanteriorcingulate_rh_delta_entropy,0.4592455519,0.0010665259,regression exacte (residu < 1e-14)
caudalanteriorcingulate_rh_delta_periodic,0.153032444,0.1467463081,regression exacte (residu < 1e-14)
caudalanteriorcingulate_rh_exponent,0.9949495145,0.3029479595,regression exacte (residu < 1e-14)
caudalanteriorcingulate_rh_gamma_connectivity,0.3477043843,0.0071633601,regression exacte (residu < 1e-14)
caudalanteriorcingulate_rh_gamma_entropy,0.847009243,0.00187832,regression exacte (residu < 1e-14)
caudalanteriorcingulate_rh_gamma_periodic,0.0646476732,0.0482981947,regression exacte (residu < 1e-14)
caudalanteriorcingulate_rh_theta_connectivity,0.3316865487,0.0109325759,regression exacte (residu < 1e-14)
caudalanteriorcingulate_rh_theta_entropy,0.5158534964,0.0021000314,regression exacte (residu < 1e-14)
caudalanteriorcingulate_rh_theta_periodic,0.1236137713,0.1149542577,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_all_connectivity,0.3457856618,0.0061105977,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_all_entropy,0.7897313783,0.0125337553,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_all_periodic,0.068115727,0.0280791431,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_alpha_connectivity,0.3548445665,0.0146964418,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_alpha_entropy,0.5734420204,0.00240372,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_alpha_periodic,0.0441859704,0.1165953054,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_beta_connectivity,0.3463382745,0.0061310413,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_beta_entropy,0.7208100546,0.0048137469,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_beta_periodic,0.0446750558,0.0461761491,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_delta_connectivity,0.3303544416,0.0225406779,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_delta_entropy,0.4590698822,0.0010916583,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_delta_periodic,0.1888534704,0.1362933432,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_exponent,0.8217086245,0.3185253479,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_gamma_connectivity,0.347833547,0.0078294663,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_gamma_entropy,0.8477803779,0.0017265769,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_gamma_periodic,0.0772415102,0.04953172,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_theta_connectivity,0.3297733053,0.0106910713,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_theta_entropy,0.5156483461,0.0018551292,regression exacte (residu < 1e-14)
caudalmiddlefrontal_lh_theta_periodic,0.0730524246,0.1097583056,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_all_connectivity,0.3456438458,0.0060364171,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_all_entropy,0.7915531203,0.012113384,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_all_periodic,0.0677755636,0.0277389251,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_alpha_connectivity,0.3541299113,0.0139684671,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_alpha_entropy,0.5736732919,0.0022954752,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_alpha_periodic,0.0293110959,0.1141836453,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_beta_connectivity,0.3462174142,0.0058886672,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_beta_entropy,0.7211540289,0.0047333971,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_beta_periodic,0.0457509242,0.0460849365,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_delta_connectivity,0.3308440852,0.0226028997,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_delta_entropy,0.4590441803,0.001046634,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_delta_periodic,0.2027326484,0.1394555861,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_exponent,0.7774525466,0.3226471166,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_gamma_connectivity,0.3478000279,0.0076968177,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_gamma_entropy,0.8479283914,0.0016818275,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_gamma_periodic,0.0817187899,0.0515030703,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_theta_connectivity,0.3293743782,0.0109634787,regression exacte (residu < 1e-14)
caudalmiddlefrontal_rh_theta_entropy,0.5156259064,0.0017856782,regression exacte (residu < 1e-14)
