marker,mean,std,source
inferiorparietal_rh_all_entropy,0.7885587867,0.0126193324,regression exacte (residu < 1e-14)
inferiorparietal_rh_all_periodic,0.0627726928,0.0264951727,regression exacte (residu < 1e-14)
inferiorparietal_rh_alpha_connectivity,0.3555057276,0.015333336,regression exacte (residu < 1e-14)
inferiorparietal_rh_alpha_entropy,0.5738151747,0.0023671917,regression exacte (residu < 1e-14)
inferiorparietal_rh_alpha_periodic,0.0866848444,0.1319755559,regression exacte (residu < 1e-14)
inferiorparietal_rh_beta_connectivity,0.3459171401,0.0063405392,regression exacte (residu < 1e-14)
inferiorparietal_rh_beta_entropy,0.7186774209,0.0051437494,regression exacte (residu < 1e-14)
inferiorparietal_rh_beta_periodic,0.0302018071,0.0391002467,regression exacte (residu < 1e-14)
inferiorparietal_rh_delta_connectivity,0.330288128,0.0221580339,regression exacte (residu < 1e-14)
inferiorparietal_rh_delta_entropy,0.4591551353,0.0010642085,regression exacte (residu < 1e-14)
inferiorparietal_rh_delta_periodic,0.1491028286,0.1229421343,regression exacte (residu < 1e-14)
inferiorparietal_rh_exponent,0.9058314351,0.2976182845,regression exacte (residu < 1e-14)
inferiorparietal_rh_gamma_connectivity,0.3479067754,0.008583564,regression exacte (residu < 1e-14)
inferiorparietal_rh_gamma_entropy,0.8477121135,0.0017749695,regression exacte (residu < 1e-14)
inferiorparietal_rh_gamma_periodic,0.0807439439,0.0506711013,regression exacte (residu < 1e-14)
inferiorparietal_rh_theta_connectivity,0.3290543244,0.0108921411,regression exacte (residu < 1e-14)
inferiorparietal_rh_theta_entropy,0.5155289073,0.0019121249,regression exacte (residu < 1e-14)
inferiorparietal_rh_theta_periodic,0.0505933467,0.0970076111,regression exacte (residu < 1e-14)
inferiortemporal_lh_all_connectivity,0.3481347123,0.0076788704,regression exacte (residu < 1e-14)
inferiortemporal_lh_all_entropy,0.79345693,0.0105587069,regression exacte (residu < 1e-14)
inferiortemporal_lh_all_periodic,0.0666998687,0.0291112987,regression exacte (residu < 1e-14)
inferiortemporal_lh_alpha_connectivity,0.3567473305,0.0151472881,regression exacte (residu < 1e-14)
inferiortemporal_lh_alpha_entropy,0.5738179139,0.0022547943,regression exacte (residu < 1e-14)
inferiortemporal_lh_alpha_periodic,0.0498869022,0.1236652934,regression exacte (residu < 1e-14)
inferiortemporal_lh_beta_connectivity,0.3489524687,0.0083527656,regression exacte (residu < 1e-14)
inferiortemporal_lh_beta_entropy,0.7210625472,0.0050891131,regression exacte (residu < 1e-14)
inferiortemporal_lh_beta_periodic,0.0331537348,0.0412847831,regression exacte (residu < 1e-14)
inferiortemporal_lh_delta_connectivity,0.331601435,0.0227836097,regression exacte (residu < 1e-14)
inferiortemporal_lh_delta_entropy,0.4590452577,0.0011556997,regression exacte (residu < 1e-14)
inferiortemporal_lh_delta_periodic,0.2072410544,0.1450935714,regression exacte (residu < 1e-14)
inferiortemporal_lh_exponent,0.8119899738,0.2939855794,regression exacte (residu < 1e-14)
inferiortemporal_lh_gamma_connectivity,0.3502065354,0.0096437558,regression exacte (residu < 1e-14)
inferiortemporal_lh_gamma_entropy,0.8480666302,0.0016321811,regression exacte (residu < 1e-14)
inferiortemporal_lh_gamma_periodic,0.092560748,0.0586262707,regression exacte (residu < 1e-14)
inferiortemporal_lh_theta_connectivity,0.3309919563,0.0110914762,regression exacte (residu < 1e-14)
inferiortemporal_lh_theta_entropy,0.5154764548,0.0020770434,regression exacte (residu < 1e-14)
inferiortemporal_lh_theta_periodic,0.0546425012,0.1082107183,regression exacte (residu < 1e-14)
inferiortemporal_rh_all_connectivity,0.3481217161,0.007368159,regression exacte (residu < 1e-14)
inferiortemporal_rh_all_entropy,0.7922917496,0.0112644019,regression exacte (residu < 1e-14)
inferiortemporal_rh_all_periodic,0.0683766653,0.0289448391,regression exacte (residu < 1e-14)
inferiortemporal_rh_alpha_connectivity,0.3572572454,0.0152239031,regression exacte (residu < 1e-14)
inferiortemporal_rh_alpha_entropy,0.5737859869,0.0022172739,regression exacte (residu < 1e-14)
inferiortemporal_rh_alpha_periodic,0.0579099922,0.1299555766,regression exacte (residu < 1e-14)
inferiortemporal_rh_beta_connectivity,0.3488713894,0.0077327995,regression exacte (residu < 1e-14)
inferiortemporal_rh_beta_entropy,0.7205666552,0.0053284673,regression exacte (residu < 1e-14)
inferiortemporal_rh_beta_periodic,0.0358053583,0.0435348732,regression exacte (residu < 1e-14)
inferiortemporal_rh_delta_connectivity,0.331124684,0.0226610424,regression exacte (residu < 1e-14)
inferiortemporal_rh_delta_entropy,0.4590459773,0.0010892185,regression exacte (residu < 1e-14)
inferiortemporal_rh_delta_periodic,0.2012890728,0.1494122858,regression exacte (residu < 1e-14)
inferiortemporal_rh_exponent,0.8267940794,0.2896450464,regression exacte (residu < 1e-14)
inferiortemporal_rh_gamma_connectivity,0.3501485273,0.0092097541,regression exacte (residu < 1e-14)
inferiortemporal_rh_gamma_entropy,0.8480145476,0.0016108882,regression exacte (residu < 1e-14)
inferiortemporal_rh_gamma_periodic,0.0903041175,0.0580254608,regression exacte (residu < 1e-14)
inferiortemporal_rh_theta_connectivity,0.3310442794,0.0110478965,regression exacte (residu < 1e-14)
inferiortemporal_rh_theta_entropy,0.5156732339,0.0020976796,regression exacte (residu < 1e-14)
inferiortemporal_rh_theta_periodic,0.0567802233,0.106704395,regression exacte (residu < 1e-14)
insula_lh_all_connectivity,0.3469171219,0.0067959192,regression exacte (residu < 1e-14)
insula_lh_all_entropy,0.7905950978,0.0127630665,regression exacte (residu < 1e-14)
insula_lh_all_periodic,0.0728730268,0.0314799823,regression exacte (residu < 1e-14)
insula_lh_alpha_connectivity,0.3559495279,0.0145839737,regression exacte (residu < 1e-14)
insula_lh_alpha_entropy,0.5735758864,0.0024144665,regression exacte (residu < 1e-14)
insula_lh_alpha_periodic,0.0588012617,0.1342722079,regression exacte (residu < 1e-14)
insula_lh_beta_connectivity,0.3472301089,0.0066907112,regression exacte (residu < 1e-14)
insula_lh_beta_entropy,0.7211757299,0.0052563734,regression exacte (residu < 1e-14)
insula_lh_beta_periodic,0.0387705629,0.0455381413,regression exacte (residu < 1e-14)
insula_lh_delta_connectivity,0.330625509,0.0226184649,regression exacte (residu < 1e-14)
insula_lh_delta_entropy,0.4591025344,0.0010733812,regression exacte (residu < 1e-14)
insula_lh_delta_periodic,0.2136236916,0.1554647558,regression exacte (residu < 1e-14)
insula_lh_exponent,0.8298410643,0.31151174,regression exacte (residu < 1e-14)
insula_lh_gamma_connectivity,0.3493394071,0.0088319629,regression exacte (residu < 1e-14)
insula_lh_gamma_entropy,0.8479445921,0.0018268028,regression exacte (residu < 1e-14)
insula_lh_gamma_periodic,0.091857005,0.0573896184,regression exacte (residu < 1e-14)
insula_lh_theta_connectivity,0.3313627677,0.0111717459,regression exacte (residu < 1e-14)
insula_lh_theta_entropy,0.515430573,0.0020611566,regression exacte (residu < 1e-14)
insula_lh_theta_periodic,0.0761412272,0.1211156343,regression exacte (residu < 1e-14)
insula_rh_all_connectivity,0.3465141216,0.0066027664,regression exacte (residu < 1e-14)
insula_rh_all_entropy,0.7906009377,0.0126743408,regression exacte (residu < 1e-14)
insula_rh_all_periodic,0.071321496,0.0316823448,regression exacte (residu < 1e-14)
insula_rh_alpha_connectivity,0.3550730806,0.0145179473,regression exacte (residu < 1e-14)
insula_rh_alpha_entropy,0.5736034259,0.0023701674,regression exacte (residu < 1e-14)
insula_rh_alpha_periodic,0.0562144135,0.1299929078,regression exacte (residu < 1e-14)
insula_rh_beta_connectivity,0.3467831325,0.0063655072,regression exacte (residu < 1e-14)
insula_rh_beta_entropy,0.7207899379,0.0054823566,regression exacte (residu < 1e-14)
insula_rh_beta_periodic,0.039553638,0.0480834547,regression exacte (residu < 1e-14)
insula_rh_delta_connectivity,0.330436283,0.0223983663,regression exacte (residu < 1e-14)
insula_rh_delta_entropy,0.4590387485,0.0010471722,regression exacte (residu < 1e-14)
insula_rh_delta_periodic,0.2054502427,0.1551610631,regression exacte (residu < 1e-14)
insula_rh_exponent,0.8281136689,0.3093082739,regression exacte (residu < 1e-14)
insula_rh_gamma_connectivity,0.3492706067,0.0088671839,regression exacte (residu < 1e-14)
insula_rh_gamma_entropy,0.8478599724,0.0018233323,regression exacte (residu < 1e-14)
insula_rh_gamma_periodic,0.0911564847,0.0582429929,regression exacte (residu < 1e-14)
insula_rh_theta_connectivity,0.3308352382,0.0110798658,regression exacte (residu < 1e-14)
insula_rh_theta_entropy,0.5154836029,0.0020113072,regression exacte (residu < 1e-14)
insula_rh_theta_periodic,0.0689848003,0.1153412607,regression exacte (residu < 1e-14)
isthmuscingulate_lh_all_connectivity,0.3481261164,0.0073234949,regression exacte (residu < 1e-14)
isthmuscingulate_lh_all_entropy,0.7789413329,0.0155671169,regression exacte (residu < 1e-14)
isthmuscingulate_lh_all_periodic,0.0773852437,0.0310526634,regression exacte (residu < 1e-14)
isthmuscingulate_lh_alpha_connectivity,0.3626135077,0.0178343848,regression exacte (residu < 1e-14)
isthmuscingulate_lh_alpha_entropy,0.5734134464,0.0032700525,regression exacte (residu < 1e-14)
isthmuscingulate_lh_alpha_periodic,0.1969143661,0.1650552756,regression exacte (residu < 1e-14)
isthmuscingulate_lh_beta_connectivity,0.3486974427,0.0076983055,regression exacte (residu < 1e-14)
isthmuscingulate_lh_beta_entropy,0.7159533935,0.0063237437,regression exacte (residu < 1e-14)
isthmuscingulate_lh_beta_periodic,0.0443422426,0.0496958416,regression exacte (residu < 1e-14)
isthmuscingulate_lh_delta_connectivity,0.3260629266,0.0219526833,regression exacte (residu < 1e-14)
isthmuscingulate_lh_delta_entropy,0.4595528153,0.0011042567,regression exacte (residu < 1e-14)
isthmuscingulate_lh_delta_periodic,0.1040648303,0.1259289805,regression exacte (residu < 1e-14)
isthmuscingulate_lh_exponent,1.0398834854,0.2876587445,regression exacte (residu < 1e-14)
isthmuscingulate_lh_gamma_connectivity,0.3493218749,0.0087493501,regression exacte (residu < 1e-14)
isthmuscingulate_lh_gamma_entropy,0.8471286495,0.0018801653,regression exacte (residu < 1e-14)
isthmuscingulate_lh_gamma_periodic,0.0674859749,0.0587036087,regression exacte (residu < 1e-14)
isthmuscingulate_lh_theta_connectivity,0.3322107643,0.0103712188,regression exacte (residu < 1e-14)
isthmuscingulate_lh_theta_entropy,0.5158673683,0.0024381125,regression exacte (residu < 1e-14)
isthmuscingulate_lh_theta_periodic,0.0900665926,0.1113463464,regression exacte (residu < 1e-14)
isthmuscingulate_rh_all_connectivity,0.3480151315,0.0070960215,regression exacte (residu < 1e-14)
isthmuscingulate_rh_all_entropy,0.7772625839,0.0160282085,regression exacte (residu < 1e-14)
isthmuscingulate_rh_all_periodic,0.0784854594,0.0314001087,regression exacte (residu < 1e-14)
isthmuscingulate_rh_alpha_connectivity,0.3623956911,0.017705242,regression exacte (residu < 1e-14)
isthmuscingulate_rh_alpha_entropy,0.5734000392,0.0032288918,regression exacte (residu < 1e-14)
isthmuscingulate_rh_alpha_periodic,0.2101915992,0.1738886417,regression exacte (residu < 1e-14)
isthmuscingulate_rh_beta_connectivity,0.3488373323,0.0080695969,regression exacte (residu < 1e-14)
isthmuscingulate_rh_beta_entropy,0.7153095316,0.006463012,regression exacte (residu < 1e-14)
isthmuscingulate_rh_beta_periodic,0.0549887902,0.0567842198,regression exacte (residu < 1e-14)
isthmuscingulate_rh_delta_connectivity,0.3258522267,0.0226491469,regression exacte (residu < 1e-14)
isthmuscingulate_rh_delta_entropy,0.4595760627,0.0011271577,regression exacte (residu < 1e-14)
isthmuscingulate_rh_delta_periodic,0.0878004476,0.1126958064,regression exacte (residu < 1e-14)
isthmuscingulate_rh_exponent,1.0502740786,0.276703583,regression exacte (residu < 1e-14)
isthmuscingulate_rh_gamma_connectivity,0.3495325513,0.0088347008,regression exacte (residu < 1e-14)
isthmuscingulate_rh_gamma_entropy,0.8468611231,0.0019706573,regression exacte (residu < 1e-14)
isthmuscingulate_rh_gamma_periodic,0.059156656,0.056179499,regression exacte (residu < 1e-14)
isthmuscingulate_rh_theta_connectivity,0.3315327541,0.0107887895,regression exacte (residu < 1e-14)
isthmuscingulate_rh_theta_entropy,0.5160934611,0.0023797516,regression exacte (residu < 1e-14)
isthmuscingulate_rh_theta_periodic,0.0852459939,0.1075363414,regression exacte (residu < 1e-14)
lateraloccipital_lh_all_connectivity,0.3466471985,0.0072134731,regression exacte (residu < 1e-14)
lateraloccipital_lh_all_entropy,0.7859420642,0.0147543792,regression exacte (residu < 1e-14)
lateraloccipital_lh_all_periodic,0.06776856,0.0287313124,regression exacte (residu < 1e-14)
lateraloccipital_lh_alpha_connectivity,0.3575287618,0.0161186668,regression exacte (residu < 1e-14)
lateraloccipital_lh_alpha_entropy,0.5738520313,0.002573818,regression exacte (residu < 1e-14)
lateraloccipital_lh_alpha_periodic,0.1202169242,0.1624325473,regression exacte (residu < 1e-14)
lateraloccipital_lh_beta_connectivity,0.3467491398,0.0070183288,regression exacte (residu < 1e-14)
lateraloccipital_lh_beta_entropy,0.7174911365,0.0062539164,regression exacte (residu < 1e-14)
lateraloccipital_lh_beta_periodic,0.0339664639,0.0419082788,regression exacte (residu < 1e-14)
lateraloccipital_lh_delta_connectivity,0.3297857464,0.0222333032,regression exacte (residu < 1e-14)
lateraloccipital_lh_delta_entropy,0.4592027242,0.0011099634,regression exacte (residu < 1e-14)
lateraloccipital_lh_delta_periodic,0.1326147334,0.1271484065,regression exacte (residu < 1e-14)
lateraloccipital_lh_exponent,0.9382828829,0.3202081371,regression exacte (residu < 1e-14)
lateraloccipital_lh_gamma_connectivity,0.3489543421,0.0095945378,regression exacte (residu < 1e-14)
lateraloccipital_lh_gamma_entropy,0.8476957587,0.0018168311,regression exacte (residu < 1e-14)
lateraloccipital_lh_gamma_periodic,0.0811896185,0.0568510992,regression exacte (residu < 1e-14)
lateraloccipital_lh_theta_connectivity,0.3302969745,0.0109506018,regression exacte (residu < 1e-14)
lateraloccipital_lh_theta_entropy,0.5156500951,0.0022389497,regression exacte (residu < 1e-14)
lateraloccipital_lh_theta_periodic,0.0567564707,0.101667404,regression exacte (residu < 1e-14)
lateraloccipital_rh_all_connectivity,0.3464293898,0.0067835005,regression exacte (residu < 1e-14)
lateraloccipital_rh_all_entropy,0.784660113,0.0160600962,regression exacte (residu < 1e-14)
lateraloccipital_rh_all_periodic,0.0695936725,0.029821027,regression exacte (residu < 1e-14)
lateraloccipital_rh_alpha_connectivity,0.3585470532,0.0177221996,regression exacte (residu < 1e-14)
lateraloccipital_rh_alpha_entropy,0.5738503521,0.0027122279,regression exacte (residu < 1e-14)
lateraloccipital_rh_alpha_periodic,0.144355207,0.1766282108,regression exacte (residu < 1e-14)
lateraloccipital_rh_beta_connectivity,0.3466730827,0.0065961981,regression exacte (residu < 1e-14)
lateraloccipital_rh_beta_entropy,0.7169729347,0.006599224,regression exacte (residu < 1e-14)
lateraloccipital_rh_beta_periodic,0.032235298,0.0411443825,regression exacte (residu < 1e-14)
lateraloccipital_rh_delta_connectivity,0.3299794013,0.0222479821,regression exacte (residu < 1e-14)
lateraloccipital_rh_delta_entropy,0.4591829216,0.0011252595,regression exacte (residu < 1e-14)
lateraloccipital_rh_delta_periodic,0.125525348,0.1278856441,regression exacte (residu < 1e-14)
lateraloccipital_rh_exponent,0.9616198888,0.3137310259,regression exacte (residu < 1e-14)
lateraloccipital_rh_gamma_connectivity,0.3483700818,0.0087759094,regression exacte (residu < 1e-14)
lateraloccipital_rh_gamma_entropy,0.8475808521,0.0016830481,regression exacte (residu < 1e-14)
lateraloccipital_rh_gamma_periodic,0.0797969517,0.0566146953,regression exacte (residu < 1e-14)
lateraloccipital_rh_theta_connectivity,0.3304362162,0.0109143223,regression exacte (residu < 1e-14)
lateraloccipital_rh_theta_entropy,0.5158293429,0.0022689851,regression exacte (residu < 1e-14)
lateraloccipital_rh_theta_periodic,0.0574716673,0.0966526154,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_all_connectivity,0.3467201115,0.0067867413,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_all_entropy,0.7902625012,0.0108486707,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_all_periodic,0.0741172221,0.0318630745,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_alpha_connectivity,0.3559731206,0.014648547,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_alpha_entropy,0.573408452,0.0022268848,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_alpha_periodic,0.0480284827,0.1301261448,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_beta_connectivity,0.3470468401,0.0067063071,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_beta_entropy,0.7213381622,0.0051722998,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_beta_periodic,0.0399697915,0.0444640222,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_delta_connectivity,0.3311760009,0.0233815962,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_delta_entropy,0.4588426276,0.0010348846,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_delta_periodic,0.2206031411,0.1627223838,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_exponent,0.871519851,0.2834807347,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_gamma_connectivity,0.3486018468,0.0080446017,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_gamma_entropy,0.8475942911,0.001546893,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_gamma_periodic,0.0933354928,0.057587078,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_theta_connectivity,0.3322614947,0.0118087914,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_theta_entropy,0.5155328301,0.0020602059,regression exacte (residu < 1e-14)
lateralorbitofrontal_lh_theta_periodic,0.0841129635,0.1218859111,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_all_connectivity,0.3468109885,0.0067380397,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_all_entropy,0.7898794434,0.0106754748,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_all_periodic,0.0740360418,0.0320658145,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_alpha_connectivity,0.3562789384,0.0146711448,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_alpha_entropy,0.5734663033,0.0022669181,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_alpha_periodic,0.0510567837,0.133335634,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_beta_connectivity,0.3472949206,0.0066820287,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_beta_entropy,0.7210739326,0.0051189708,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_beta_periodic,0.0421979949,0.0448174656,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_delta_connectivity,0.3310073067,0.023870168,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_delta_entropy,0.4588844321,0.0010454261,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_delta_periodic,0.2195030819,0.1667983156,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_exponent,0.8715723724,0.2811484679,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_gamma_connectivity,0.34847082,0.0082674623,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_gamma_entropy,0.8475601114,0.0016123008,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_gamma_periodic,0.0898339779,0.0583351337,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_theta_connectivity,0.3324233936,0.0118995193,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_theta_entropy,0.515605713,0.0019838631,regression exacte (residu < 1e-14)
lateralorbitofrontal_rh_theta_periodic,0.085252737,0.1212051645,regression exacte (residu < 1e-14)
lingual_lh_all_connectivity,0.3484698612,0.0080661446,regression exacte (residu < 1e-14)
lingual_lh_all_entropy,0.7870262794,0.0142586281,regression exacte (residu < 1e-14)
lingual_lh_all_periodic,0.0695892517,0.0293657686,regression exacte (residu < 1e-14)
lingual_lh_alpha_connectivity,0.3602314282,0.0171269952,regression exacte (residu < 1e-14)
lingual_lh_alpha_entropy,0.5737158291,0.0027122208,regression exacte (residu < 1e-14)
lingual_lh_alpha_periodic,0.1296972789,0.1535255493,regression exacte (residu < 1e-14)
lingual_lh_beta_connectivity,0.3491831252,0.0086853515,regression exacte (residu < 1e-14)
lingual_lh_beta_entropy,0.7179084371,0.0061247663,regression exacte (residu < 1e-14)
lingual_lh_beta_periodic,0.0353858777,0.0453351671,regression exacte (residu < 1e-14)
lingual_lh_delta_connectivity,0.3294632068,0.0221427934,regression exacte (residu < 1e-14)
lingual_lh_delta_entropy,0.4592739014,0.0011136432,regression exacte (residu < 1e-14)
lingual_lh_delta_periodic,0.1421120504,0.1361792541,regression exacte (residu < 1e-14)
lingual_lh_exponent,0.9384828646,0.3078735638,regression exacte (residu < 1e-14)
lingual_lh_gamma_connectivity,0.3496466768,0.0094603804,regression exacte (residu < 1e-14)
lingual_lh_gamma_entropy,0.8477266697,0.0016236613,regression exacte (residu < 1e-14)
lingual_lh_gamma_periodic,0.0803575124,0.061109062,regression exacte (residu < 1e-14)
lingual_lh_theta_connectivity,0.3317791721,0.010728897,regression exacte (residu < 1e-14)
lingual_lh_theta_entropy,0.5158110537,0.0022159241,regression exacte (residu < 1e-14)
lingual_lh_theta_periodic,0.0602988419,0.0978777621,regression exacte (residu < 1e-14)
lingual_rh_all_connectivity,0.3478900241,0.0077092988,regression exacte (residu < 1e-14)
lingual_rh_all_entropy,0.7870709879,0.0148908429,regression exacte (residu < 1e-14)
lingual_rh_all_periodic,0.0694968074,0.0290489573,regression exacte (residu < 1e-14)
lingual_rh_alpha_connectivity,0.3596477677,0.0169954375,regression exacte (residu < 1e-14)
lingual_rh_alpha_entropy,0.5737831948,0.0027275812,regression exacte (residu < 1e-14)
lingual_rh_alpha_periodic,0.1363953521,0.1593093664,regression exacte (residu < 1e-14)
lingual_rh_beta_connectivity,0.348599338,0.0082843645,regression exacte (residu < 1e-14)
lingual_rh_beta_entropy,0.7180060577,0.0061084999,regression exacte (residu < 1e-14)
lingual_rh_beta_periodic,0.0344756973,0.0467771575,regression exacte (residu < 1e-14)
lingual_rh_delta_connectivity,0.3295158187,0.0222801745,regression exacte (residu < 1e-14)
lingual_rh_delta_entropy,0.4592005873,0.0011178949,regression exacte (residu < 1e-14)
lingual_rh_delta_periodic,0.1335617916,0.1241214233,regression exacte (residu < 1e-14)
lingual_rh_exponent,0.9354181261,0.3155010483,regression exacte (residu < 1e-14)
lingual_rh_gamma_connectivity,0.3491387292,0.0088944623,regression exacte (residu < 1e-14)
lingual_rh_gamma_entropy,0.8477397502,0.0016549812,regression exacte (residu < 1e-14)
lingual_rh_gamma_periodic,0.0831426931,0.0614790418,regression exacte (residu < 1e-14)
lingual_rh_theta_connectivity,0.3312321858,0.0111950527,regression exacte (residu < 1e-14)
lingual_rh_theta_entropy,0.516001656,0.0021597678,regression exacte (residu < 1e-14)
lingual_rh_theta_periodic,0.0518615512,0.0944998635,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_all_connectivity,0.3462931215,0.0068561277,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_all_entropy,0.7920084473,0.0103022562,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_all_periodic,0.0756774214,0.0324122245,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_alpha_connectivity,0.3549810845,0.0143700445,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_alpha_entropy,0.5735736037,0.0020710314,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_alpha_periodic,0.0239192903,0.1261253798,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_beta_connectivity,0.3467542754,0.0064668352,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_beta_entropy,0.7223756452,0.0052251894,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_beta_periodic,0.0477073915,0.0487114244,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_delta_connectivity,0.3309495561,0.0234875895,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_delta_entropy,0.4588143839,0.0010648118,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_delta_periodic,0.2358786888,0.157557676,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_exponent,0.8004704974,0.3024422996,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_gamma_connectivity,0.3480449816,0.0080742072,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_gamma_entropy,0.8475278094,0.0017181722,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_gamma_periodic,0.0968677708,0.0580169145,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_theta_connectivity,0.331723665,0.0119959132,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_theta_entropy,0.5154891335,0.0018931021,regression exacte (residu < 1e-14)
medialorbitofrontal_lh_theta_periodic,0.0734312185,0.1193997458,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_all_connectivity,0.3461646208,0.006851898,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_all_entropy,0.7923444155,0.0104290475,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_all_periodic,0.0757202676,0.0334463925,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_alpha_connectivity,0.354191116,0.0138940747,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_alpha_entropy,0.5736038169,0.0021048478,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_alpha_periodic,0.0217046575,0.1271152371,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_beta_connectivity,0.3465509834,0.00642779,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_beta_entropy,0.7224755994,0.0051759482,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_beta_periodic,0.0478268021,0.0481865746,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_delta_connectivity,0.3310801409,0.0237756088,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_delta_entropy,0.4589122055,0.0010708852,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_delta_periodic,0.2429365608,0.1611644458,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_exponent,0.785915525,0.303614445,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_gamma_connectivity,0.3481708309,0.0083453138,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_gamma_entropy,0.8476193535,0.0017310535,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_gamma_periodic,0.0957979359,0.057013783,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_theta_connectivity,0.3318586967,0.0122289954,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_theta_entropy,0.5154259478,0.0019421042,regression exacte (residu < 1e-14)
medialorbitofrontal_rh_theta_periodic,0.0735384599,0.1152804007,regression exacte (residu < 1e-14)
middletemporal_lh_all_connectivity,0.3476725942,0.0074097888,regression exacte (residu < 1e-14)
middletemporal_lh_all_entropy,0.7945960246,0.0104542625,regression exacte (residu < 1e-14)
middletemporal_lh_all_periodic,0.0673979325,0.0300638824,regression exacte (residu < 1e-14)
middletemporal_lh_alpha_connectivity,0.355918596,0.0143839674,regression exacte (residu < 1e-14)
middletemporal_lh_alpha_entropy,0.5738901569,0.0022742769,regression exacte (residu < 1e-14)
middletemporal_lh_alpha_periodic,0.035088853,0.1250297654,regression exacte (residu < 1e-14)
middletemporal_lh_beta_connectivity,0.3481612862,0.0075974437,regression exacte (residu < 1e-14)
middletemporal_lh_beta_entropy,0.7213313751,0.0050578283,regression exacte (residu < 1e-14)
middletemporal_lh_beta_periodic,0.032258093,0.0410663442,regression exacte (residu < 1e-14)
